id,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise
UCEnEbZnMufWAXGEo68KqvzQ,0,0,0,0,0,0,0,0,0,0,0,0
UCAkqtSoNBNbOrNTG4LlhotA,1,0,0,0,1,0,0,0,0,0,0,1
UCAHtekbg5FCHdquuMiqv3Yg,1,1,0,0,0,0,0,0,0,0,0,0
UChFt_sbmy5DX15GPeqWr73w,0,0,0,0,0,0,0,0,0,0,0,0
UCrfnhIalN_slWiUEg5r588Q,0,0,0,0,0,0,0,0,0,0,0,0
UCYx5Fnqws-zRmuBQMy5kUeA,0,0,0,0,0,0,0,0,0,0,0,0
UCNZQ8bDdOl3DQ5B9GSw7sNw,0,1,0,0,1,0,0,0,0,0,0,0
UCd9g58qzd3TS_5WB4zKqNsA,0,1,0,0,0,0,0,1,0,0,0,0
UCzv1xDJ3Q2PNY68xL0lSGog,0,0,0,0,0,0,0,0,0,0,0,0
UCWyOeMB7Vp4ii1qXkyoyNGQ,0,0,0,0,0,0,0,0,0,0,0,0
UCgw36rLk7ylKelo-aisAEAg,0,0,0,0,0,0,0,0,0,0,0,0
UCP36itunkuNWoGSbGyd3kHw,0,0,0,0,0,0,0,0,0,0,0,0
UCli0urGBIeBxlMJuwFnbmuQ,0,0,0,0,0,0,0,0,0,0,0,0
UCPkiOcDtHWZtlTilespn2xA,0,0,0,0,0,0,0,0,0,0,0,0
UCFuPSIZ-o3FeI7lG62LLmSg,1,0,1,0,0,0,0,0,0,0,0,0
UCVmiN4HMG9sc4Em5F0jGR_A,0,1,0,0,0,0,0,0,0,0,0,0
UCsmHqTkPx9modsqcL5J9hUg,0,0,0,0,0,0,0,0,0,0,0,0
UCbr68WEJ3e1W5NHIPL5RR3g,1,1,0,0,0,0,0,0,0,0,0,0
UCxB_KaKhlYG_o5wEKJYNr_A,0,0,0,0,0,0,0,0,0,0,0,0
UCGmwjdVPreAXW0NfBqSSYfw,0,0,0,0,0,0,0,0,0,0,0,0
UCreSJmU8utwY-kF_TRAwnWQ,0,0,0,0,0,0,0,0,0,0,0,0
UCDGBHWphU5n9ISc9QfGb_Ug,0,0,0,0,0,0,0,0,0,0,0,0
UCFbGqIaWIqk82dpu0uEYX-Q,0,0,0,0,0,0,0,0,0,0,0,0
UCqjvNcLjhQH9ylSzmJBzhJA,0,0,0,0,0,0,0,0,0,0,0,0
UC_cMe_KH6PbKh51OmRVVyqA,0,0,0,0,0,0,0,0,0,0,0,0
UCjHxmKEZVuf75jFc9oRVk_w,0,0,0,0,0,0,0,0,0,0,0,0
UC6I6WaljvnH6hsfErd-Ebew,1,0,0,0,0,0,0,0,0,0,0,0
UCz0nD84-6FTFWGS9MAT0oQQ,0,0,0,0,0,0,0,0,0,0,0,0
UCUeUUFK2xI8zXT_ureim3Bw,0,0,0,0,0,0,0,0,0,0,0,0
UCdBRRDF8PiUeOka5Q7V2nHA,0,0,0,0,0,0,0,0,0,0,0,0
UC0fPuRU5fsyhBsXM3lhPFZg,0,0,0,0,0,0,0,0,0,0,0,0
UCcv6qkluKQRBmi7PZrh9img,0,0,0,0,0,0,0,0,0,0,0,0
UCWbMcuiNT18DDyNn-iX8Ing,1,1,0,0,1,0,0,0,0,0,0,0
UCXYni4BNbPv-2xXEX7KjjDw,1,0,0,0,1,0,0,0,0,0,0,0
UCsnA-YsBmr9niszHPuemCnw,0,0,0,0,0,0,0,0,0,0,0,0
UC2jI1MhYqtdFpvOfrwqj-Bg,0,0,0,0,0,0,0,0,0,0,0,0
UC7bhRntiK4KyYpx6Jw22rgA,0,0,0,0,0,0,0,0,0,0,0,0
UCRtYTqmiX6Ul9wIwGw3y3OA,0,0,0,0,0,0,0,0,0,0,0,0
UCJdcwVhLwkVPkrildpdXixQ,0,0,0,0,0,0,0,0,0,0,0,0
UC-x0BxAq_STsdGSg_kbrLvA,0,0,0,0,0,0,0,0,0,0,0,0
UCl8hrY7iGNpiigKR2tdTQ8w,1,0,0,0,0,0,1,0,0,0,0,0
UCMtL4buTHs1W0uLEmByf8wQ,0,0,0,0,0,0,0,0,0,0,0,0
UCnZrjucYjaXKUx8rD3qOBlw,0,1,0,0,0,1,0,0,0,0,0,0
UCgtw6ik2gXRPiROCqNPve3A,0,0,0,0,0,0,0,0,0,0,0,0
UCc2a-EQcBbsHgSMTsr983gA,0,0,0,0,0,0,0,0,0,0,0,0
UCiJRKD3r4M23mHUhM6ro8iQ,1,0,0,0,0,0,0,0,0,0,0,0
