id,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surpise,Trust
UCcK72Xs5DAM3mnGpyImg63Q,0,0,0,0,0,0,0,0
UCdxi8d8qRsRyUi2ERYjYb-w,0,1,0,0,0,0,1,1
UCq3HG_FLEzMh4XMxikjDx0Q,0,1,0,0,1,0,0,0
UCACwo1XkdoQ_45X1AaMfNcA,0,0,0,0,0,0,0,0
UCHBWN1CtqAgnKgN6xIJBFPg,0,0,0,1,0,1,0,1
UC0v-tlzsn0QZwJnkiaUSJVQ,0,1,0,0,0,0,0,1
UCAQ5PkNqC2PmnzWUd2rfwBQ,0,0,0,0,1,0,0,0
UC-NINtNMPM75eaqh07RCy_Q,1,0,0,0,1,0,0,0
UCW4_vrAdIq658NTwQTTA2Fw,0,0,0,0,1,0,0,0
UCkHlHMr_D5hetYy6btuY-tA,0,0,0,0,0,0,0,0
UCjwVaGmrDZsVq6cdf6O8t-A,0,0,0,0,0,0,0,0
UCPDis9pjXuqyI7RYLJ-TTSA,0,1,0,0,0,0,0,0
UCSYBs67KQjq29fJ0My51_AA,0,0,0,0,1,0,0,0
UChRExdrWaXxxveTOb1_E_mQ,0,0,0,0,0,0,0,0
UCHmhLe3w3pQpUmonqkthE3g,0,0,0,0,0,0,0,0
UCRIu9Z1XQ4fsMzfb5vkVCcQ,0,1,0,0,1,0,0,1
UCIyARGHwaphJNATI94FoSIw,0,0,0,0,0,0,0,0
UCRiKSjrkkMrlTZqKmBVW9OA,0,0,0,0,0,0,0,0
UCqeY-StzmmHGYNRkQ_r49Yg,0,0,0,0,0,0,0,0
UCOD61z-vlytlhJDKje5zNPw,0,0,0,0,0,0,0,0
UCaH6XH3AZi9g3rcyKOFtjbw,0,0,0,0,0,0,0,0
UCOrGpfzWIn4WWJgjgyrq5cQ,0,0,0,0,0,0,0,0
UC6SZFED8LPPsxE4IWcEX6XA,0,0,0,0,0,0,0,0
UChboFzTgHPP9zkk2ID9AeZA,0,0,0,0,0,0,0,0
UCqAS5VXjDByC9UN6NTDrPHQ,0,1,0,0,1,0,1,0
UCPOIFuct7fjWKkiDRTNJqrg,0,1,0,0,1,0,1,0
UChF-9ZaZxXwqM5qFXX9wgLw,0,0,0,0,0,0,0,0
UCshfkdpahG1U4vKIDjE4D0Q,0,0,0,0,0,0,0,0
UC8LcA3grYZg0GNpxlXh8owg,1,0,0,0,1,0,0,0
UCo-e1gJbOCfZ37R8Mw6VcyQ,0,0,0,0,0,0,0,0
UCNaNmNp6-3yMF2XyGYoga5w,0,0,0,1,1,0,0,0
UCpZLNDzplh9FDioOX-jnvKA,0,0,0,0,0,0,0,0
UC7vv4cRfzZ-46navm8rvelg,0,0,0,0,0,0,0,0
UCYT0OOzMUKkCSXeP7CyAQrQ,0,0,0,0,0,0,0,0
UC-pE29OUR43BqqBxIeyo_GA,0,0,0,0,1,0,0,1
UCvsMJuKN5n6Li0pp6oHrFwQ,0,0,0,0,0,0,0,0
UCN3OXmlai-gAaaicGXg9tCg,0,0,0,0,0,0,0,0
UCLLmvT8guMBccGWlHwPAiEg,0,0,0,0,0,0,0,0
UCqPoizY22eEAmsvmFVUtb9w,0,1,0,0,1,0,0,0
UCbwSxv4kkURMAjsX01zFTbQ,0,0,0,0,1,0,0,0
